Ticker,Price,Date
STOK,19.68,2025-08-21
SSRM,16.92,2025-08-21
ATEC,15.93,2025-08-21
BWAY,14.99,2025-08-21
TDUP,11.16,2025-08-21
FIGX,10.01,2025-08-21
XGN,9.98,2025-08-21
NBTX,9.74,2025-08-21
AMRX,9.53,2025-08-21
GILT,9.51,2025-08-21
ASLE,8.85,2025-08-21
EFTY,7.05,2025-08-21
RZLT,6.96,2025-08-21
TLS,6.13,2025-08-21
BUUU,4.65,2025-08-21
IMRX,4.63,2025-08-21
ATAI,4.39,2025-08-21
IVA,4.26,2025-08-21
PGEN,3.64,2025-08-21
MBOT,3.56,2025-08-21
THTX,3.25,2025-08-21
RAVE,3.15,2025-08-21
IPA,2.63,2025-08-21
GEG,2.42,2025-08-21
CGTX,1.99,2025-08-21
EQ,1.56,2025-08-21
KGC,19.51,2025-08-21
AMX,19.42,2025-08-21
NPB,16.56,2025-08-21
NWG,15.25,2025-08-21
AVBC,14.99,2025-08-21
SAND,10.82,2025-08-21
CX,8.79,2025-08-21
IAG,8.46,2025-08-21
AEG,8.03,2025-08-21
