Ticker,Price,Date,Trinity
NMRK,18.32,2025-08-26,True
SSRM,18.32,2025-08-26,True
CHCI,17.0,2025-08-26,True
COMM,16.46,2025-08-26,True
DOMO,16.11,2025-08-26,True
BWAY,15.9,2025-08-26,True
KPLT,14.67,2025-08-26,True
GILT,9.95,2025-08-26,True
EMPG,9.8,2025-08-26,True
ARRY,9.56,2025-08-26,True
XERS,7.95,2025-08-26,True
BUUU,7.38,2025-08-26,True
EFTY,7.25,2025-08-26,True
RZLT,7.2,2025-08-26,True
ELVA,5.48,2025-08-26,True
ONDS,4.97,2025-08-26,True
DSWL,3.74,2025-08-26,True
CPSH,3.63,2025-08-26,True
GOSS,2.53,2025-08-26,True
AREC,2.1,2025-08-26,True
NPB,17.72,2025-08-26,True
MYE,16.8,2025-08-26,True
AVBC,15.15,2025-08-26,True
GENI,13.04,2025-08-26,True
NUS,12.21,2025-08-26,True
IAG,9.08,2025-08-26,True
CX,8.97,2025-08-26,True
JMIA,8.94,2025-08-26,True
MBI,7.9,2025-08-26,True
HLLY,3.89,2025-08-26,True
